RECRUIT_ID,PERSON_ID,LABEL
135144,996499,0
135144,3301030,0
135144,3404860,1
135144,4155520,1
135144,4211720,0
135144,4403337,0
135144,4672512,1
135144,5027573,0
135144,5669476,1
135144,5884040,1
135144,6126103,1
135144,6254033,0
135144,6291663,1
137045,3352869,1
137045,5925193,1
137045,6021293,1
146798,4337659,1
146798,4997026,1
146798,5166735,1
146798,5534253,1
146798,5647382,1
146798,5836605,0
146798,6105887,0
146798,6176199,0
146798,6195615,0
146798,6205675,0
146798,6207451,0
146798,6234768,0
146798,6247269,0
146798,6249220,0
146798,6264624,1
146798,6272694,0
146798,6278271,1
146798,6278272,0
146798,6280588,0
146798,6297626,1
146798,6299901,1
146798,6301165,1
146798,6311151,0
146798,6311918,1
146798,6314652,0
146798,6321890,1
436321,5146771,1
436321,5794265,0
436321,6027786,1
436321,6073102,0
436321,6082465,1
436321,6100345,0
436321,6106494,1
436321,6115646,0
436321,6156036,1
436321,6196764,1
436321,6203854,1
436321,6207451,0
436321,6223731,1
436321,6223833,1
436321,6236806,1
436321,6239632,1
436321,6253670,1
436321,6266821,1
436321,6287780,0
436321,6292597,1
436321,6315701,1
440725,414076,0
462715,1021446,0
462715,1585059,0
462715,2241350,1
462715,2656487,0
462715,6269247,0
470220,316907958,1
470220,318850954,1
470220,320851940,1
489735,24295,0
489735,50270,0
489735,50577,0
489735,54919,1
489735,103591,1
489735,181009,0
489735,182058,1
489735,399881,1
489735,449353,0
489735,567991,0
489735,624668,1
489735,947810,0
489735,1069870,1
489735,1199806,1
489735,1342979,1
489735,1518247,0
489735,1712550,0
489735,1816657,0
489735,2140329,1
489735,2163630,1
489735,2270166,0
489735,2308240,0
489735,2352406,1
489735,2527106,1
489735,2658848,1
489735,2917178,1
489735,3089528,0
489735,3134730,0
489735,3523300,0
489735,4119060,0
489735,4132787,1
489735,4147090,0
489735,4225749,1
489735,4287390,1
489735,4289250,1
489735,4441989,1
489735,4600112,0
489735,4699405,1
489735,4720209,1
489735,4729965,1
489735,4930872,0
489735,4948393,0
489735,5019361,1
489735,5030261,0
489735,5058416,0
489735,5132479,1
489735,5136361,0
489735,5137055,1
489735,5181639,1
489735,5198735,0
489735,5224756,1
489735,5260178,1
489735,5349466,1
489735,5357291,0
489735,5359270,1
489735,5374911,1
489735,5397368,0
489735,5419428,1
489735,5454944,1
489735,5569430,1
489735,5600562,0
489735,5625704,0
489735,5646751,1
489735,5661308,1
489735,5715196,1
489735,5749174,0
489735,5770906,1
489735,5800768,0
489735,5839778,0
489735,5849938,0
489735,5868925,0
489735,5869694,1
489735,5871416,0
489735,5899742,0
489735,5899830,1
489735,5903013,0
489735,5911380,1
489735,5917656,1
489735,5922098,1
489735,5950742,1
489735,5962245,1
489735,5964043,0
489735,5964260,1
489735,5965887,0
489735,5979410,1
489735,5979426,0
489735,5991576,0
489735,5994452,0
489735,5999336,0
489735,6013951,0
489735,6023756,0
489735,6031064,0
489735,6040063,1
489735,6042255,1
489735,6058313,0
489735,6060986,1
489735,6061107,1
489735,6075342,1
489735,6076222,0
489735,6078846,0
489735,6086344,0
489735,6090528,1
489735,6091633,0
489735,6101133,1
489735,6104017,1
489735,6110107,1
489735,6118830,1
489735,6119200,1
489735,6121439,1
489735,6129700,0
489735,6134688,0
489735,6136614,0
489735,6138551,0
489735,6143380,1
489735,6143771,0
489735,6156778,1
489735,6164828,1
489735,6208810,0
489735,6217259,0
489735,6241061,1
489735,6250650,0
491733,1744546,1
491733,3078368,0
491733,4312479,0
491733,4710573,1
491733,5910697,0
491733,5927064,0
491733,6052068,1
491733,6058610,1
491733,6059252,0
491733,6102636,0
491733,6103129,1
491733,6115724,0
491733,6132417,0
491733,6137265,1
491733,6170213,0
491733,6188035,1
491733,6189713,0
491733,6202112,1
491733,6205172,1
491733,6205274,1
491733,6205652,1
513553,32033,0
513553,101787,1
513553,113100,0
513553,324948,0
513553,326658,0
513553,574198,1
513553,651357,0
513553,723551,1
513553,1323946,1
513553,1817619,1
513553,2551237,1
513553,2555647,1
513553,2619910,0
513553,2975246,1
513553,2983120,0
513553,3104029,1
513553,3789698,1
513553,3997969,1
513553,4206276,1
513553,4267737,1
513553,4721442,0
513553,4797515,1
513553,4799403,1
513553,4933567,1
513553,4981014,1
513553,4988024,1
513553,5015394,0
513553,5028061,1
513553,5115208,1
513553,5117899,0
513553,5125655,1
513553,5149278,1
513553,5152758,1
513553,5156156,1
513553,5171181,0
513553,5199402,1
513553,5260063,1
513553,5261239,0
513553,5277253,0
513553,5316547,1
513553,5345843,1
513553,5350184,1
513553,5364519,0
513553,5397776,0
513553,5399256,1
513553,5410259,1
513553,5410999,0
513553,5452302,1
513553,5455007,0
513553,5479299,1
513553,5483331,1
